name,credits,prereqs,coursenum,offeredin,description,department
"Directed Study",2,null,PHY298,null,,
"Directed Study",4,null,PHY299,null,,
Biophysics,4,null,PHY317,null,"An introduction to classic topics at the intersection of physics and biology. Topics may include biopolymers, selfassembly, nerves and signal propagation, molecular machines, and biomembranes. The course will emphasizeapproaches based on thermodynamics, statistical mechanics, and experimental techniques. Concurrent registration inPHY317L is required. (Three one-hour lectures and a three hour laboratory. Fall)",
"Introduction to Space Science",4,null,PHY320,null,"A survey of Earthï¿½s space environment including solar, planetary, magnetospheric, ionospheric, and upper atmosphericphysics (solar dynamics, magnetic storms, particle precipitation, aurora, and related topics). (Three one-hour lectures.)",
"Special Functions of Mathematical Physics",4,null,PHY327,null,"Special functions encountered in physics. Partial differentiation, partial differential equations, Fourier series, seriessolution of differential equations, Legendre, Bessel, and other orthogonal functions, vector calculus, applied linearalgebra (e.g., matrix multiplication, eigenvalues and eigenvectors, special matrices, determinants), functions of acomplex variable, and an introduction to computer programming in IDL. Concurrent registration in PHY327L is required.(Three one-hour lectures. Spring)",
"Mechanics I",4,null,PHY351,null,"Classical mechanics in terms of Newtonian, Lagrangian, and Hamiltonian formalisms. Topics include conservationprinciples, single particle motion, gravitation, oscillations, central forces, and two-particle kinematics. (Three one-hourlectures. Fall)",
"Mechanics II",4,null,PHY352,null,"Classical mechanics in terms of Newtonian, Lagrangian, and Hamiltonian formalisms. Topics include dynamics of rigidbodies, systems of particles, coupled oscillations, and noninertial reference frames. (Three one-hour lectures. Spring)",
"Electromagnetic Fields I",4,null,PHY362,null,"The classical electromagnetic field theory is developed using vector calculus. Topics include electrostatics, solution ofLaplaceï¿½s and Poissonï¿½s equations, and electric properties of materials. (Three one-hour lectures. Fall)",
"Electromagnetic Fields II",4,null,PHY363,null,"The classical electromagnetic field theory is developed using vector calculus. Topics include magnetostatics, magneticproperties of materials, and electromagnetic radiation based on Maxwellï¿½s equations. (Three one-hour lectures. Spring)",
"Comprehensive Laboratory I",2,null,PHY395,null,"Students work in small groups on advanced experiments from various physics subfields (including modern physics,electronic instrumentation, magnetism, and optics) with a focus on the role of experiments, interpretation of data, andscientific communication. Incorporates an introduction to LabVIEW software for computerized data acquisition andexperiment control. (One three-hour laboratory and an occasional one-hour seminar per week. Prereq.: junior or seniorstanding in physics. Fall)",
"Comprehensive Laboratory II",2,null,PHY396,null,"Application of experimental techniques to advanced experiments in high vacuum physics and technology, modernoptics, biophysics, and other areas. (One three-hour laboratory and an occasional one-hour seminar per week. Prereq.:junior or senior standing in physics. Spring)",
Internship,2,null,PHY397,null,,
Internship,2,null,PHY398,null,,
Internship,4,null,PHY399,null,,
"Plasma Physics",4,null,PHY420,null,"Fundamentals of plasma physics including waves, instabilities, drifts, plasma drifts, particle motion, electric andmagnetic fields, Boltzmann equation, magnetohydrodynamics, transport, and applications to laboratory and spaceplasmas. (Three one-hour lectures.)",
"Introduction to Solid State Physics",4,null,PHY430,null,"Topics in solid state physics including various theories of metals, crystal lattices, band structure and Fermi surfaces,phonons, semiconductors and magnetism. The conditions and consequences of the solid state of materials will beexplored at a very detailed level, taking realistic parameters of materials into account. Prereq.: PHY 486 stronglyrecommended. (Three one-hour lectures.)",
"Quantum Physics",4,null,PHY486,null,"A development from first principles, including de Broglieï¿½s postulates, the Schroedinger equation, operators, wavefunctions, expectation values, and approximation methods. Applications include potential wells and barriers, theharmonic oscillator, and the hydrogen atom. (Three one-hour lectures. Spring)",
"Independent Study",4,null,PHY499,null,,
"American Government and Politics",4,null,POL121,null,"Surveys major parts of American national government - including Congress, the presidency, and the courts - as well ascampaigns and elections, federalism, interest groups, and political parties.",
"Social Justice in Urban America",4,null,POL122,null,"Examines politics and public policy in metropolitan areas, emphasizing factors that help some do well while othersstruggle. Looks at how urban politics embodies some of the countryï¿½s deepest challenges, and considers ways thatpeople work to address those challenges.",
"American Women and Politics",4,null,POL124,null,"Investigates the roles women play in the political system. Political, economic, and social issues will be explored fromcontemporary and historical perspectives.",
"Introduction to Political Science",4,null,POL158,null,"An analysis of basic patterns in the political system and decision-making process with some comparison of majorpolitical systems and discussion of contemporary issues.",
"World Politics",4,null,POL160,null,"Introduction to the processes and issues of international politics, including the dynamics of the international system,theories of international relations, and a focus on recent problems.",
"Law in the United States",4,null,POL170,null,"A survey of American law and legal process. Theories of law; law and society; roles of courts, police, lawyers, and juries;the United States Constitution as "supreme" law; law as politics; historic and contemporary legal issues.",
Internship,4,null,POL199,null,,
"Environmental and River Politics",4,null,POL241,null,"This course explores the politics of the communities and ecosystems of the Upper Mississippi River watershed, includingcontroversies about river pollution, the lock and dam system, regional water supply, flood control, and farmingpractices. Includes site visits to see how local policy-makers and stakeholders are trying to achieve sustainability in thewatershed.",
Topics,4,null,POL295,null,,
"Directed Study",4,null,POL299,null,,
"Citizen Participation within a Globalized Economy-A Nicaraguan Case Study",4,null,POL310,null,"Topics include key political, social and economic global processes that shape citizen participation in Nicaragua andglobally. Focuses on key economic development policies apple in Nicaragua and ongoing participatory efforts of NGOs,social movements and community groups working on alternative development policies.",
"Politics and Public Policy",4,null,POL325,null,"The domestic policy making process, emphasizing how elected officials, bureaucrats, and interest groups shapegovernment policies in various areas, including taxes, the environment, and social welfare policy. How public policies areformulated and implemented.",
"Political Parties and Behavior",4,null,POL326,null,"Emphasizes study of public opinion and political parties in the electoral process. Field work with political parties, interestgroups, and media in presidential elections (optional in non-presidential election years).",
"Globalization, Social Struggle and the Environment",4,null,POL341,null,"Explores issues of globalization and social change in Mexico and analyzes political, social, and economic policies thatpromote and/or hinder sustainable development from a gender perspective. Particular emphasis will be placed onenvironmental issues and the causes of migration/emigration and social unrest in Mexico.",
"Mass Communication in Society",4,null,POL342,null,"Studies effects of new information technology (such as the Internet) and of the traditional electronic media. Covers usesof technology and media for newsmaking, selling, entertainment, and public affairs.",
"Topics: European Politics",4,null,POL350,null,"Study of the political behavior, institutions, and processes of European states. The course will focus on either Europeancommunity law and politics or domestic politics in European states.",
"Political and Social Change in Namibia",4,null,POL353,null,"This course is an integrative seminar for the semester and examines the legacy of apartheid in Namibia with particularfocus on the social and political movements that have evolved in the struggle for independence.",
"The Politics of Development in Southern Africa",4,null,POL354,null,"This course examines basic theories of development as well as the political economy of development. It provides theopportunity to reflect critically on issues of development, including global justice, equality, and sustainability.",
"Women, Gender, and Social Change in Latin America",4,null,POL357,null,"An exploration of gender politics in Latin America. Particular attention is given to womenï¿½s organizing efforts aroundissues of domestic and political violence, ecology, human rights, democracy, political participation, and revolutionarysocial change. This course fulfills a Social and Behavioral Sciences LAF requirement.",
"Topics: Women in Comparative Politics",4,null,POL359,null,"An exploration of gender politics in globalization. Particular attention is given to womenï¿½s organizing efforts aroundissues of domestic and political violence, ecology, human rights, democracy, political participation, and revolutionarysocial change.",
"Model United Nations",4,null,POL368,null,"This course provides students with in-depth understanding of the United Nations and international diplomacy throughthe process of preparation for attending the National Model United Nations Conference which is held each spring inNew York City. Students research a country and set of issues for the committee on which they will serve.",
"Constitutional Law",4,null,POL370,null,"The legal-political-philosophical role of the Supreme Court in the American political system in significant decisionsaffecting the allocation of powers in the national government and in the federal system.",
Topics,4,null,POL371,null,"Selected topics in internet, communications, and constitutional law. Content will vary, defined by the subtitle of thecourse.",
"Western Political Thought",4,null,POL380,null,"A study of influential political philosophers, emphasizing the values, goals, and assumptions that continue to inform andto rationalize human governance.",
"Topics: Democratic Theory",4,null,POL381,null,"Selected topics including the emergence of political democracy in comparative perspective and American politicalthought. Topic to be included in the subtitle.",
Seminar,2,null,POL391,null,,
Internship,2,null,POL397,null,,
Internship,4,null,POL399,null,,
"Topics: American Politics",4,null,POL421,null,"Topics include legislative, executive, or judicial politics, public policy, and leadership. Can include focus on national,state, or local level.",
"Topics: Comparative Politics",4,null,POL459,null,"Selected themes including interpretations of political systems and comparisons of political processes such as politicalparticipation, political development, political change, and revolution. Topic to be included in subtitle.",
"Topics: International Politics",4,null,POL461,null,"Selected themes including interpretations of international politics, foreign policy decision-making, simulations ofinternational problems. Topic to be included in subtitle.",
"Political Statistics and Methodology",4,null,POL483,null,"Introductory survey of political science methods. Covers experimental design, descriptive and inferential statistics,computer methods, and issues in the construction and execution of political surveys.",
"Political Analysis",4,null,POL484,null,"An analysis of different approaches and theories in the study of politics including an examination of the requirements ofscience as a model for political study. Major research is required. This course satisfies the Keystone requirement.",
"International Relations Keystone",4,null,POL490,null,"Capstone seminar for students majoring in international relations; analysis of some methods for studying internationalrelations; analysis of major trends; senior thesis. Open to other students by consent of instructor. This course satisfiesthe Keystone requirement for International Relations majors.",
Seminar,4,null,POL495,null,,
"Independent Study",2,null,POL498,null,,
"Independent Study",4,null,POL499,null,,
"Principles of Psychology",4,null,PSY105,null,"An introduction to the methods and principles of psychology. Applications of psychological concepts to everydaysituations are emphasized. Research participation is required.",
Internship,4,null,PSY199,null,,
"Health Psychology",4,null,PSY201,null,"Consideration of the impact of psychological, behavioral, social, and biological interactions on health.",
"Lifespan Development",4,null,PSY203,null,"An overview of biological, cognitive, and socioemotional development from the prenatal period through adulthood usinga developmental perspective. Emphasis on theories, methodology, and current scientific and applied research indevelopmental psychology.",
"Culture and Psychology",4,null,PSY205,null,"Examine how culture is related to mental processes and behavior. Topics include the impact of culture on development,emotion, cognition, personality, social interactions, and psychological disorders. This course is typically reserved forfaculty-led study abroad programs.",
"Research Methods and Statistics I",4,null,PSY215,null,"Part I of a two-term sequence. See PSY 315. PSY 215 may be taken without taking PSY 315. Scientific method aspracticed in psychology. This sequence emphasizes skills of bibliographic research, research design and data collection,statistical analysis and interpretation, and APA-style presentation of research findings.",
"Psychology and Law",4,null,PSY235,null,"Application of psychological principles and research to legal processes, policy, and problems. Emphasis on three contentareas: eyewitness memory, courtroom procedures, and forensic clinical practice.",
"Child Development",4,null,PSY250,null,"Theory and scientific methods of examining development and behavior. Practical implications of data and theory arestressed.",
"Adolescent and Young Adult Development",4,null,PSY252,null,"Consideration of research and theory related to development during the adolescent and young adult years.",
"Aging and Adulthood",4,null,PSY253,null,"Development through middle and older adulthood. Consideration of positive and negative aspects of aging. Content isespecially relevant to those who study and work with the largest growing segment of our populationï¿½the elderly.",
"Environmental Psychology",4,null,PSY256,null,"This course uses a cultural-ecological viewpoint to study the influence of both the natural and built physical environmenton human behavior.",
"Personality and Cultural Context",4,null,PSY261,null,"Current scientifically-based approaches to description, dynamics, and development of personality. Includes study ofgender, social position, and cross-cultural behavior.",
"Abnormal Psychology",4,null,PSY262,null,"Applying psychological science to understanding the causes and treatments for psychological disorders. Topics includedepression, anxiety, schizophrenia, substance use, and eating disorders.",
"Sports Psychology",4,null,PSY263,null,"Foundations of sports psychology. Psychological concepts applied to sports and enhancement of athletic performance.Topics include motivation, team development, leadership, psychological skills training, and goal setting.",
"Psychology of Gender",4,null,PSY271,null,"Emphasis on the social construction of gender and its impact on the lives and behavior of individuals.",
"Industrial & Organizational Psychology",4,null,PSY282,null,"The theoretical and applied study of organizations. Topics include the individual, group, and organizationalstructure/process and change.",
"Addiction and Recovery",4,null,PSY291,null,"Examines addiction and recovery from multiple perspectives, giving special attention to physiological, religious-spiritual,neurobiological, and sociocultural dimensions. Emphasis is placed on interdisciplinary approaches to prevention,treatment, and recovery.",
Topics,4,null,PSY295,null,"Specific topic will be published prior to registration; e.g., Positive Psychology, Close Relationships, Psychology andReligion.",
"Directed Study",4,null,PSY299,null,,
"Research Methods and Statistics II",4,null,PSY315,null,"Part II of a two-term sequence. See PSY 215. Ideally PSY 315 should be taken in the term immediately following PSY 215.",
"Social Behavior",4,null,PSY325,null,"Social factors that influence individual and group behavior in natural and laboratory settings. Topics include socialcognition, group behavior, social influence, attitudes formation, and change. Note: Students should have completed PSY215; or PSY 105, with junior standing and consent of instructor.",
"Cognitive Psychology",4,null,PSY354,null,"Theory, data, and practical applications relevant to the following topics: attention, perception, pattern recognition,memory, mental imagery, problem solving, decision making, and language. Note: Students should have completed PSY215; or PSY 105, with junior standing and consent of instructor.",
Biopsychology,4,null,PSY355,null,"Relationship between biology and behavior. Considers biological bases of learning and cognition, emotions, abnormalpsychology, and normal and altered states of consciousness. Note: Students should have completed PSY 215; or PSY 105,with junior standing and consent of instructor.",
"Behavior Analysis",4,null,PSY357,null,"Principles of learning/behavior change and their application to self-management, family, work, school, and clinicsettings. Individualized projects. Note: Students should have completed PSY 215; or PSY 105, with junior standing andconsent of instructor.",
Assessment,4,null,PSY359,null,"Theory and scientific methods of assessing human aptitudes, achievement, personality, abnormal behavior, vocationalinterests, and impacts of the environment on behavior. Examination of a variety of tests, concepts of reliability andvalidity, and legal and ethical issues. Note: Students should have completed PSY 215; or PSY 105, with junior standingand consent of instructor.",
"Psychology Laboratory",2,null,PSY360,null,"Laboratory research experience under the supervision of a faculty member. Concurrent or previous enrollment in a fullcredit course in the faculty memberï¿½s area of expertise and approval by that faculty member are required.",
"Historical Perspectives",4,null,PSY381,null,"Focus on the people in psychologyï¿½s history, their questions and positions, from the early Greek period to the present.Emphasis on the 20th century, inclusions of women and minorities, and contextual history. Note: Students should havecompleted PSY 215; or PSY 105, with junior standing and consent of instructor.",
"Counseling Psychology",4,null,PSY385,null,"Discuss therapeutic approaches and interventions in counseling (e.g., psychoanalysis, person-centered therapy,cognitive behavioral therapy, and post-modern approaches). Topics include counseling diverse clients, evidence basedpractice, and ethical guidelines for the counseling relationship. Note: Students should have completed PSY 215; or PSY105, with junior standing and consent of instructor.",
Topics,4,null,PSY390,null,,
"Individual Differences",4,null,PSY391,null,"General introduction to the study of individual differences. Particular focus is placed on behavioral genetic methods anddesigns. Explores the degree to which genetic and environmental influences co-determine the expression of variouspsychological phenotypes, including psychometric IQ, personality, and facets along broader psychopathologicdimensions.",
Internship,4,null,PSY396,null,,
Internship,2,null,PSY397,null,,
Internship,4,null,PSY399,null,,
"Keystone Internship",4,null,PSY400,null,"Students work 80 hours at an internship site of their choosing and attend a weekly (or weekend) class session. A seriesof papers/assignments address career and personal goals as well as the relationship between the internship work andconcepts learned in the psychology major. PSY 400 satisfies the Keystone requirement but must involve an off-campusinternship to satisfy the Augsburg Experience requirement.",
"Clinical Neuropsychology",4,null,PSY410,null,"The exploration of human behavior when the brain is altered by traumatic brain injury and diseases such as stroke,epilepsy, and dementia. Learn human neuroanatomy in order to relate brain systems to attention, perception, memory,language, personality, and awareness. Address clinical issues, including neuropsychological assessment and interviewing.",
"Current Topics in Psychology",4,null,PSY490,null,,
"Advanced Research Seminar",4,null,PSY491,null,"Research team experience in a seminar format. Designed to extend studentsï¿½ knowledge of statistical andmethodological techniques and to explore contemporary professional issues and implications for social policy.Recommended for students headed for graduate school and those electing an honors major.",
"Seminar: Contemporary Issues",4,null,PSY493,null,"Discussion and exploration of contemporary, theoretical, professional, and social policy issues from a psychologicalviewpoint.",
"Clinical Research and Lab",4,null,PSY495,null,"Conduct psychological research on topics related to mental health and well-being. Clinical research methods, researchethics, statistical analysis, and writing for research papers and posters will be discussed. Students assist faculty onresearch projects.",
"Independent Study/Research",2,null,PSY498,null,,
"Independent Study",4,null,PSY499,null,,
"Religion, Vocation, and the Search for Meaning I",4,null,RLN100,null,"This introductory course engages students in the search for meaning through the narratives of Judaism, Christianity, andIslam, explores the concept of vocation, and invites students to consider their own religious, philosophical, and ethicalcommitments in dialogue with other perspectives. Critical reading and inquiry will be fostered through courseassignments and activities.",
"Religion, Vocation, and the Search for Meaning II",4,null,RLN200,null,"This course builds on the foundational themes established in RLN 100 by continuing the exploration of vocation and thesearch for meaning in Christianity and in other world religions. Particular emphasis will be given to religion in publicdiscourse, pluralism, and interreligious dialogue. Critical reading and inquiry will be fostered through course assignmentsand activities.",
"Directed Study",2,null,RLN201,null,,
"Directed Study",4,null,RLN202,null,,
"Exploring Topics in Religion",4,null,RLN205,null,"This course introduces students to various topics within the field of religion. Students will explore primary texts on topicssuch as gender, economics, and politics and investigate and analyze the contemporary debates involving these complexissues. Students will develop their own perspectives on the topic under investigation. *This course can meet the Searchfor Meaning II or Humanities LAF requirement but not both.*",
"Research Methods in Religion",4,null,RLN209,null,"An introduction to the study of the main disciplines within the academic study of Christianity (Bible, theology, andchurch history), including methods and research skills.",
"Church Music and Worship",4,null,RLN214,null,"This course examines the words, music, and ritual actions that have shaped Christian worship throughout the centuries.Students will be grounded in the biblical, theological, and liturgical traditions of the church while examining currentpractices emerging in the digital age. Experiential components to the course will allow students the opportunity tocritically assess and plan worship services.",
"Religion and Science in Popular Culture",4,null,RLN216,null,"This course explores the relationship between religion and science through issues that emerge in public discussionthrough news and popular media. Examples of topics include evolution and intelligent design, genetic engineering andstem cell research, and the social role of science and science as vocation, along with historical and philosophicaldevelopment of science in its relationship to religion. *This course can meet the Search for Meaning II or Humanities LAFrequirement but not both.*",
"Feminism and Christianity",4,null,RLN221,null,"Attention will be given to religious influences on societal roles for women and men, feminist interpretation of the Bible,and the impact of feminism on Christian theology, especially in terms of language and metaphor.",
"Spirituality, Religion, and Popular Culture",4,null,RLN222,null,"This class is designed to introduce students to the role spirituality and religion play in creating and maintaining culturethrough such popular venues as motion pictures, television, music, theater, and literature. In particular, the impactreligious values have on popular cultural expressions will be examined. *This course can meet the Search for Meaning IIor Humanities LAF requirement but not both.*",
"Self, Sex & Sin: Human Person in Christian & Contemporary Thought",4,null,RLN230,null,"We face complex questions about human beings, sexuality, and sin. The Bible and Christian thinkers have reflected onthese topics, but it often seems like traditional claims disagree with modern views. This course explores how theChristian tradition and modern anthropology define self, sex, and sin. *This course can meet the Search for Meaning II orHumanities LAF requirement but not both.*",
"Giants of the Christian Faith",4,null,RLN237,null,"Christian history is examined through the lives and theology of notable figures. Thinkers who may be studied includeAugustine, Martin Luther, Dorothy Day, and Martin Luther King, Jr. *This course can meet the Search for Meaning II orHumanities LAF requirement but not both.*",
"Religion and the Rise of Science",4,null,RLN240,null,"This course examines the relationship between religion and the study of the natural world from antiquity to thebeginnings of modern science, focusing especially on the 16th and 17th centuries. We will explore how historical viewsof astronomy, biology, mathematics, and physics influenced, and were influenced by, beliefs about God, creation, andhuman nature.",
"Religion in America",4,null,RLN243,null,"A study of the history of religion in America. This course explores religion as force for personal transformation,community and social change. In the journey from Puritanism to pluralism, special attention is given to the quest forreligious freedom and the search for meaning in history.",
"The Lutheran Heritage",4,null,RLN245,null,"This course tracks the development and influence of the Lutheran movement from its origins to its diverse expressionsin the 21st century. A cast of characters (from Bach to Bonhoeffer) and controversies (fate and freedom, faith andworks, church and politics, and more) highlight the course topics. Overall, students will be equipped and challenged toassess Lutheranisms contributions to the Christian movement in light of other faith (and non-faith) traditions.",
"The Bible in Culture and Counterculture",4,null,RLN251,null,"An introduction to the interpretation of the Bible and its relevance to contemporary culture. Reading selected texts fromthe Biblical Canon of the Old and New Testaments and how those texts have been read by Jewish and Christiancommunities over the centuries. Attention is paid to the ancient world and the literary and cultural contexts, includingthe subversive role particular texts played as protest to the dominant culture in their original contexts and in laterinterpretations and applications. The class will discuss the range of literary genres in the Bible and the significant arc ofthe narrative. Attention will also be paid to the nature of theological interpretation, the role of the reader, and the useof biblical narratives, images, and themes in various cultural settings where the Bible has been used to support orundermine the prevailing social order.",
"Heaven, Hell, and the End of the World",4,null,RLN257,null,"Heaven, Hell, and the End of the World is a study of ancient traditions, biblical texts and contemporary beliefs aboutthese great themes. The course will cover biblical apocalyptic literature including the Dead Sea Scrolls, parables of Jesusand the Book of Revelation. It will also study aspects of Dantes Inferno and Purgatorio, the apocalypticism of theCrusades and the rise of apocalyptic Islam. This course will also cover popular treatments of these themes incontemporary film, television, music and post-apocalyptic literature. Finally, students will be challenged to develop apersonal assessment regarding these themes.*This course can meet the Search for Meaning II or Humanities LAFrequirement but not both.*",
"Jesus and His Interpreters",4,null,RLN261,null,"Consideration of the New Testament documents, particularly the Gospels, dealing with their context, literary structure,and relationships. Attention to the variety of interpretations given the person of Jesus.",
"Responsible Leadership in an Interfaith World",4,null,RLN272,null,"Augsburg commits itself to educating "responsible leaders;" it values "intentional diversity in its life and work." Mindfulof that mission, this course aims to develop the inter-religious literacy and vocational discernment needed to be aresponsible leader in a religiously diverse world, whatever the students aspirational goals. *This course can meet theSearch for Meaning II or Humanities LAF requirement but not both.*",
Judaism,4,null,RLN275,null,"An introduction to the Jewish faith as the tradition has developed, as well as attention to current issues facing theJewish community.",
"World Religions",4,null,RLN276,null,"An introductory survey of some of the major living religions of the world, including Hinduism, Buddhism, Confucianism,Taoism, Shinto, and Islam. *This course can meet the Search for Meaning II or Humanities LAF requirement but notboth.*",
"Foundations for Public Ministry",4,null,RLN290,null,"As a course that fulfills the Search for Meaning II General Education requirement, this course explores the search formeaning through an introductory level study into the biblical, theological, and historical foundations of innovative publicChristian ministry. Building on the studentsï¿½ introduction to vocation in RLN100, this course will continue to investigatethe meaning of vocation by introducing students to the knowledge, skills and sensibilities necessary to be a publicministry leader who can discern Godï¿½s call to serve the neighbor and neighborhood with individuals and communities offaith.",
"Church: Past, Present, Future",4,null,RLN295,null,"As a course that fulfills the Search for Meaning II General Education requirement, this course explores the search formeaning through an overview of the manner in which Christianity has carried out its mission throughout the centuries.Building on the studentï¿½s introduction to vocation in RLN100, this course will continue to investigate the meaning ofvocation for individuals and faith communities through an exploration of the issues and challenges facing modern andï¿½postmodernï¿½ Christians and churches. A central element of this course will be a research project that studies themethods and strategies of congregations and other ministry organizations in their efforts to introduce, nurture, andshape the Christian faith.",
Internship,2,null,RLN301,null,,
Internship,2,null,RLN302,null,,
Internship,4,null,RLN303,null,,
"Religion at the Movies",4,null,RLN319,null,"Religious themes such as good and evil, morality and ethics, human nature, holiness, faith and belief, salvation andredemption, and forgiveness and mercy will be explored through the medium of popular film.",
"Theology of Death and Dying",4,null,RLN330,null,"A study of death and dying from the viewpoint of Christian theology and ethics, taking into account also what otherreligions and the biological, psychological, and social sciences have had to say on the subject. Special emphasis onmedical ethics brought on by modern medical technology. *This course can meet the Search for Meaning II orHumanities LAF requirement but not both.*",
"Christian Ethics",4,null,RLN331,null,"The course will focus on the understanding of ethics from a Christian as well as an interreligious perspective, examiningthe theological and social science context of both individual and social ethics. Students will probe their own definitionsof what it means to live a moral life and the processes one uses to make moral decisions.",
"Environmental Theology and Ethics",4,null,RLN333,null,"An overview of contemporary theology and theologically-based approaches to environmental ethics using studies ofenvironmental problems in South, Central, and North America.",
"Latin American Liberation Theologies",4,null,RLN336,null,"An exploration of Latin American theologies of liberation and their relationship to social/political transformation.Examines key theological concepts, critiques, and practical implications.",
"The Medieval Church",4,null,RLN340,null,"This course examines the history of the medieval church from Constantine the Great to Martin Luther (c. 300 to c. 1517AD). It uses a variety of written and visual sources in an attempt to understand the medieval church and its influence,not only in religious matters, but also in the social and political spheres.",
"Martin Luther and the Reformation",4,null,RLN342,null,"An introduction to the theological thought of the Protestant reformers of the 16th century. Special attention to thewritings of Martin Luther and other representative figures. *This course can meet the Search for Meaning II orHumanities LAF requirement but not both.*",
"Theology of Marriage and Family",4,null,RLN343,null,"An examination of the nature of modern marriage and family relationships within the context of the faith and practice ofthe Christian church.",
"Liberationist, Feminist, Queer and Postcolonial Theologies in Latin America",4,null,RLN344,null,"Study the range of Latin American liberation theologies that have developed since the 1960s, when Catholic theologiansfirst asserted that God has a ï¿½preferential option for the poorï¿½ and therefore linked their faith to revolutionary socialmovements against political and economic oppression. Recently, Latin American theologies have expanded to includefeminist, queer, and postcolonial struggles against sexism, heterosexism, and imperialism. Not accepted for credit forstudents who have taken REL 366. *This course can meet the Search for Meaning II or Humanities LAF requirement butnot both.*",
"American Indian Spirituality and Philosophical Thought",4,null,RLN370,null,"Religious beliefs, spiritual customs, and philosophy of North American Indians are studied. Tribal similarities anddifferences are explored as are tribal relationships with nature, religious oversight of life cycles, sacred ritualceremonies, and beliefs in an afterlife. (Prereq.: junior standing)",
"Ethics and World Religions",4,null,RLN374,null,"This course examines the ethics of major world religions, as both a field of study and a way of life. Students will learnabout the relationship between religious faith and practice and personal and social ethics. Particular attention will begiven to cooperative efforts towards a global ethic. *This course can meet the Search for Meaning II or Humanities LAFrequirement but not both.*",
"The Church and Social Change in Southern Africa",4,null,RLN376,null,"This course examines the changing role of the church in the midst of the political transformations of southern Africa.Students meet with people representing a variety of religious perspectives and roles within churches and religiousorganizations.",
"The Art of Public Ministry",4,null,RLN390,null,"This course emphasizes the day-to-day sensibilities, skills, and practices needed for the grounding and guiding of publicministry. An exploration of the history and development of the spiritual practices of the Christian tradition, combinedwith modern practices used for effective ministry, make up the major themes of this course.",
Internship,4,null,RLN399,null,"The internship centers around 150 hours of supervised leadership practice focused on public ministry, fulfilled inpartnership with a congregation or other approved ministry setting. A formal learning agreement as well as anindividualized reflection process with a faculty member round out the internship experience.",
"Religion Keystone",4,null,RLN400,null,"This course is required for the major, and enrollment is normally restricted to students who have nearly finished theircoursework. Selected topics vary by instructor. Students will improve writing abilities through writing a major researchpaper.",
"Independent Study/Research",2,null,RLN401,null,"For religion majors only.",
"Independent Study/Research",4,null,RLN402,null,"For religion majors only.",
"Christensen Scholar Seminar I",2,null,RLN405,null,"This course will study the Bible and Christian tradition in order to help participants discern a call in Christian ministry.This course is open to participants in the Christensen Scholar program only. Applications due in January. Sophomoresand juniors may apply. Contact Religion department for details.",
"Christensen Scholar Seminar II",2,null,RLN406,null,"This course will study the Bible and Christian tradition in order to help participants discern a call in Christian ministry.This course is open to participants in the Christensen Scholar program only.",
"Interfaith Scholars Seminar I",2,null,RLN407,null,"This course engages students as partners in ongoing interreligious dialogue and action by exploring methods and bestpractices for talking about religion in a diverse democracy. Students will also engage in interfaith service-learningprojects through a connection with the Interfaith Youth Core and the President Obama Interfaith Challenge. Applicationsdue in February/March. Sophomores and juniors may apply. Contact Religion department for details.",
"Interfaith Scholars Seminar II",2,null,RLN408,null,"This course engages students as partners in ongoing interreligious dialogue and action by exploring methods and bestpractices for talking about religion in a diverse democracy. Students will also engage in interfaith service-learningprojects through a connection with the Interfaith Youth Core and the President Obama Interfaith Challenge. (Prereq.:sophomore standing).",
Topics,4,null,RLN409,null,"Selected topics in religion.",
"Contemporary Theology",4,null,RLN441,null,"An introduction to some representative trends in Christian theological thought today, as seen from the systematicperspective, in the light of the continuing theological task of the Christian church.",
"Vocation and the Christian Faith",4,null,RLN480,null,"This course will examine vocation in the Bible, the Christian tradition, and contemporary culture. Students will bechallenged to make vocation the lens through which they view their lives and communities.",
"Introductory Meteorology",4,null,SCI106,null,"A survey of the basic principles of Earthï¿½s weather and climate. Topics include winds, fronts, cyclones, clouds andprecipitation, thunderstorms, tornados and hurricanes, climate and climate change, global warming, and ozonedepletion. Concurrent registration in SCI106L is required. (Three one-hour lectures, one two-hour laboratory per week.)",
"Natural Science I",4,null,SCI110,null,"The first semester of a two-semester survey of natural science. This course focuses on the nature of science and majorconcepts of physics and chemistry. Laboratory work stressing experimentation and measurement will include the use ofcomputers and electronic sensors. Concurrent registration in SCI110L is required. (Three one-hour lectures, one threehour laboratory per week. Odd years-Rochester only.)",
"Natural Science II",4,null,SCI111,null,"The second semester of a two-semester survey of natural science. This course focuses on major concepts of earthscience and biology. Laboratory work will complement lectures and will include the use of computers and electronicsensors. Concurrent registration in SCI111L is required. (Three one-hour lectures, one three-hour laboratory per week.Even years-Rochester only.)",
"The Science of Food and Cooking",4,null,SCI123,null,"A survey of the underlying physics and chemistry relevant to food and its preparation. Topics include: molecular buildingblocks of food, phases and phase transitions, emulsions, foams, gels, fermentation, taste, soil, plants, self-assembly,microbes, and nutrition. Concurrent registration in SCI123L is required. (Three hours of lecture and one and a half hourof laboratory. Spring)",
